Open Annotation Collaboration,Archimedes Palimpsest,1
Open Annotation Collaboration,The Documentation and Preservation of Dance,1
Open Annotation Collaboration,Text-Image Linking Environment,1
Open Annotation Collaboration,Music Theatre Online,1
Open Annotation Collaboration,Ajax XML Encoder (AXE),1
Open Annotation Collaboration,Born-Digital Literary Materials,1
Open Annotation Collaboration,"Soweto `76, A Living Digital Archive",1
Open Annotation Collaboration,Off the Tracks,1
Shelley-Godwin Archive,centerNet,1
Shelley-Godwin Archive,Romantic Circles,1
Shelley-Godwin Archive,Preserving Virtual Worlds I,1
Shelley-Godwin Archive,Our Americas Archive Partnership,2
Shelley-Godwin Archive,Corpora Space,3
Shelley-Godwin Archive,Summit Meeting for Planning a Coalition of Digital Humanities Centers,1
Shelley-Godwin Archive,A Special MITH *Unconference* DHKeepsOn,3
Shelley-Godwin Archive,Shared Horizons,6
Shelley-Godwin Archive,Digital Humanities 2009,1
Shelley-Godwin Archive,Digital Humanities Incubator 2014–15: Researching Ferguson,4
Shelley-Godwin Archive,"African American History, Culture and Digital Humanities",5
Shelley-Godwin Archive,Art History in Digital Dimensions,1
Shelley-Godwin Archive,Night Against Hate,2
Shelley-Godwin Archive,Textual Embodiments: 2017 Society for Textual Scholarship Conference,3
Shelley-Godwin Archive,Theatre Finder,1
Shelley-Godwin Archive,Foreign Literatures in America,4
Shelley-Godwin Archive,Digital Mishnah,3
Shelley-Godwin Archive,Collaborative Ajax-Based Modeling Platform,3
Shelley-Godwin Archive,"Review, Revise, Requery",3
Shelley-Godwin Archive,Active OCR,1
Shelley-Godwin Archive,Walt Whitman's Annotations,3
Shelley-Godwin Archive,Princeton Prosody,1
Shelley-Godwin Archive,Topic Modeling,4
Shelley-Godwin Archive,Visual Accent and Dialect Archive (VADA),2
Shelley-Godwin Archive,Black Gotham Archive,2
Shelley-Godwin Archive,BrailleSC,3
Shelley-Godwin Archive,ANGLES,5
Shelley-Godwin Archive,Digital Humanities Data Curation,2
Shelley-Godwin Archive,"“O Say Can You See”: the Early Washington, D.C. Law and Family Project",3
Shelley-Godwin Archive,Building an Accessible Future for the Humanities,2
Shelley-Godwin Archive,Workset Creation for Scholarly Analysis Project,4
Shelley-Godwin Archive,Transforming The Afro-Caribbean World,3
Shelley-Godwin Archive,Digital Humanities Winter Institute,4
Shelley-Godwin Archive,Personal Digital Archiving 2013,4
Shelley-Godwin Archive,Humanities Intensive Learning + Training,3
Shelley-Godwin Archive,Archimedes Palimpsest,1
Shelley-Godwin Archive,The Documentation and Preservation of Dance,1
Shelley-Godwin Archive,Text-Image Linking Environment,1
Shelley-Godwin Archive,Music Theatre Online,2
Shelley-Godwin Archive,Ajax XML Encoder (AXE),1
Shelley-Godwin Archive,Born-Digital Literary Materials,1
Shelley-Godwin Archive,"Soweto `76, A Living Digital Archive",1
Shelley-Godwin Archive,Off the Tracks,1
Shelley-Godwin Archive,Digital Humanities Incubator (2013 – 14),2
Shelley-Godwin Archive,Digital Humanities Incubator (2012 – 13),2
Shelley-Godwin Archive,Deena Larsen Collection,1
Shelley-Godwin Archive,BitCurator,1
Shelley-Godwin Archive,Bill Bly Collection,1
Shelley-Godwin Archive,Infinite Ulysses,1
Shelley-Godwin Archive,Enhancing Music Notation Addressability,1
Shelley-Godwin Archive,Citations: The Renaissance Imitation Mass (CRIM),1
Shelley-Godwin Archive,Computer Science and the Humanities Then and Now: A Film Screening and Discussion with Andy van Dam,1
Shelley-Godwin Archive,"Andrew Blum Lecture: ""The Internet, Really""",1
Archimedes Palimpsest,The Documentation and Preservation of Dance,1
Archimedes Palimpsest,Text-Image Linking Environment,2
Archimedes Palimpsest,Our Americas Archive Partnership,1
Archimedes Palimpsest,Music Theatre Online,1
Archimedes Palimpsest,Collaborative Ajax-Based Modeling Platform,1
Archimedes Palimpsest,Ajax XML Encoder (AXE),2
Archimedes Palimpsest,Born-Digital Literary Materials,1
Archimedes Palimpsest,"Soweto `76, A Living Digital Archive",1
Archimedes Palimpsest,Corpora Space,1
Archimedes Palimpsest,ANGLES,1
Archimedes Palimpsest,Off the Tracks,1
centerNet,Romantic Circles,1
